SCHLINSTID,SCHLYR,CNTYGEOGAREAID,DISTINSTID,STUDENRCNT,DISTSTUDENRCNT,CntyStudEnrCnt,FREELNCHCNT,DISTFREELNCHCNT,CntyFreeLnchCnt,REDLNCHCNT,DISTREDLNCHCNT,CntyRedLnchCnt,TOTELGBLAMT,DISTTOTELGBLAMT,CntyTotElgblAmt,FREEREDLNCHPCT,DISTFREEREDLNCHPCT,CntyFreeRedLnchPct,CNTYNM,DISTNM,SCHLNM,last column
4759,"7/1/2016",1,1894,227,2944,3243,,743,910,,123,168,0,866,1078,,29.42,33.24,"Baker","Baker SD 5J","Baker Early College",-
4728,"7/1/2016",1,1894,1032,2944,3243,,743,910,,123,168,0,866,1078,,29.42,33.24,"Baker","Baker SD 5J","Baker Web Academy",-
3493,"7/1/2016",1,1894,23,2944,3243,11,743,910,,123,168,13,866,1078,,29.42,33.24,"Baker","Baker SD 5J","EAGLE CAP Innovative HS",-
5,"7/1/2016",1,1894,25,2944,3243,,743,910,,123,168,0,866,1078,,29.42,33.24,"Baker","Baker SD 5J","Keating Elementary School",-
3347,"7/1/2016",1,1896,34,34,3243,,,910,,,168,10,10,1078,,,33.24,"Baker","Burnt River SD 30J","Burnt River School",-
4637,"7/1/2016",2,1901,110,6697,8786,,1985,2779,,355,537,0,2340,3316,,34.94,37.74,"Benton","Corvallis SD 509J","Inavale Community Partners dba Muddy Creek Charter School ",-
18,"7/1/2016",2,1900,32,1592,8786,13,521,2779,,116,537,15,637,3316,,40.01,37.74,"Benton","Philomath SD 17J","Blodgett Elementary School",-
3440,"7/1/2016",2,1900,183,1592,8786,68,521,2779,,116,537,71,637,3316,,40.01,37.74,"Benton","Philomath SD 17J","Kings Valley Charter School",-
4760,"7/1/2016",3,1930,305,2793,59069,,738,14687,,146,3370,0,884,18057,,31.65,30.57,"Clackamas","Estacada SD 108","Summit Community College High School",-
4670,"7/1/2016",3,1930,806,2793,59069,,738,14687,,146,3370,0,884,18057,,31.65,30.57,"Clackamas","Estacada SD 108","Summit Learning Charter",-
53,"7/1/2016",3,1923,442,7084,59069,31,456,14687,,134,3370,35,590,18057,,8.33,30.57,"Clackamas","Lake Oswego SD 7J","Forest Hills Elementary School",-
58,"7/1/2016",3,1923,474,7084,59069,17,456,14687,,134,3370,18,590,18057,,8.33,30.57,"Clackamas","Lake Oswego SD 7J","Westridge Elementary School",-
4745,"7/1/2016",3,1925,217,2697,59069,28,884,14687,,222,3370,28,1106,18057,,41.01,30.57,"Clackamas","Molalla River SD 35","Molalla River Academy",-
4818,"7/1/2016",3,1925,113,2697,59069,,884,14687,,222,3370,0,1106,18057,,41.01,30.57,"Clackamas","Molalla River SD 35","Renaissance Public Academy",-
4226,"7/1/2016",3,1924,301,17309,59069,,4957,14687,,1188,3370,0,6145,18057,,35.5,30.57,"Clackamas","North Clackamas SD 12","Clackamas Middle College",-
4223,"7/1/2016",3,1924,463,17309,59069,,4957,14687,,1188,3370,0,6145,18057,,35.5,30.57,"Clackamas","North Clackamas SD 12","Clackamas Web Academy",-
4369,"7/1/2016",3,1924,320,17309,59069,,4957,14687,,1188,3370,0,6145,18057,,35.5,30.57,"Clackamas","North Clackamas SD 12","Milwaukie Academy of the Arts",-
2733,"7/1/2016",3,1924,163,17309,59069,20,4957,14687,,1188,3370,24,6145,18057,,35.5,30.57,"Clackamas","North Clackamas SD 12","Sojourner School",-
4585,"7/1/2016",3,1928,388,8008,59069,,2115,14687,,476,3370,0,2591,18057,,32.36,30.57,"Clackamas","Oregon City SD 62","Alliance Charter Academy",-
4480,"7/1/2016",3,1928,199,8008,59069,,2115,14687,,476,3370,0,2591,18057,,32.36,30.57,"Clackamas","Oregon City SD 62","Springwater Environmental Sciences School",-
3452,"7/1/2016",3,1922,110,9764,59069,,1664,14687,,409,3370,0,2073,18057,,21.23,30.57,"Clackamas","West Linn-Wilsonville SD 3J","Three Rivers Charter School",-
4234,"7/1/2016",5,1946,44,949,7622,25,418,2646,,81,538,27,499,3184,,52.58,41.77,"Columbia","Rainier SD 13","North Columbia Academy",-
4221,"7/1/2016",5,1944,84,2442,7622,,571,2646,,107,538,0,678,3184,,27.76,41.77,"Columbia","Scappoose SD 1J","South Columbia Family School",-
176,"7/1/2016",5,1947,23,537,7622,9,222,2646,,59,538,9,281,3184,,52.33,41.77,"Columbia","Vernonia SD 47J","Mist Elementary School",-
3227,"7/1/2016",6,1965,73,3320,10115,,1714,4131,,249,614,0,1963,4745,,59.13,46.91,"Coos","Coos Bay SD 9","Destinations Academy",-
4079,"7/1/2016",6,1965,73,3320,10115,,1714,4131,,249,614,0,1963,4745,,59.13,46.91,"Coos","Coos Bay SD 9","Resource Link Charter School",-
189,"7/1/2016",6,1964,58,990,10115,33,507,4131,,69,614,37,576,4745,,58.18,46.91,"Coos","Coquille SD 8","Lincoln School of Early Learning",-
4603,"7/1/2016",6,1966,9,4419,10115,,1098,4131,,184,614,0,1282,4745,,29.01,46.91,"Coos","North Bend SD 13","Kairos - Coastline",-
4690,"7/1/2016",6,1966,2084,4419,10115,,1098,4131,,184,614,0,1282,4745,,29.01,46.91,"Coos","North Bend SD 13","Oregon Virtual Academy",-
210,"7/1/2016",6,1967,58,119,10115,38,76,4131,,,614,39,81,4745,,,46.91,"Coos","Powers SD 31","Powers Elementary School",-
211,"7/1/2016",6,1967,61,119,10115,38,76,4131,,,614,42,81,4745,,,46.91,"Coos","Powers SD 31","Powers High School",-
222,"7/1/2016",7,1970,19,2973,2911,7,1328,1328,,304,304,12,1632,1632,,54.89,56.06,"Crook","Crook County SD","Paulina School",-
4392,"7/1/2016",7,1970,59,2973,2911,40,1328,1328,,304,304,42,1632,1632,,54.89,56.06,"Crook","Crook County SD","Pioneer Secondary Alternative High School",-
223,"7/1/2016",7,1970,187,2973,2911,,1328,1328,,304,304,0,1632,1632,,54.89,56.06,"Crook","Crook County SD","Powell Butte Community Charter School",-
228,"7/1/2016",8,1973,144,214,2312,92,128,1127,,7,256,96,135,1383,,63.08,59.82,"Curry","Port Orford-Langlois SD 2CJ","Driftwood Elementary School",-
229,"7/1/2016",8,1973,70,214,2312,36,128,1127,,7,256,39,135,1383,,63.08,59.82,"Curry","Port Orford-Langlois SD 2CJ","Pacific High School",-
5340,"7/1/2016",9,1977,371,7367,26026,238,3434,9428,,574,2044,238,4008,11472,,54.4,44.08,"Deschutes","Redmond SD 2J","Redmond Early Learning Center at Hugh Hartman",-
1250,"7/1/2016",10,1980,7,7,14005,,,7145,,,1415,0,0,8560,,,61.12,"Douglas","Douglas ESD","Therapeutic Learning Center",-
297,"7/1/2016",10,1996,93,312,14005,36,147,7145,,20,1415,41,167,8560,,53.53,61.12,"Douglas","North Douglas SD 22","North Douglas High School",-
5357,"7/1/2016",10,2003,42,1364,14005,,725,7145,,128,1415,0,853,8560,,62.54,61.12,"Douglas","Sutherlin SD 130","Sutherlin Valley Online Academy",-
5201,"7/1/2016",10,2002,35,1434,14005,16,740,7145,,99,1415,18,839,8560,,58.51,61.12,"Douglas","Winston-Dillard SD 116","Dillard Alternative High School",-
326,"7/1/2016",11,2006,34,124,288,12,36,124,,23,45,13,59,169,,47.58,58.68,"Gilliam","Condon SD 25J","Condon High School",-
3353,"7/1/2016",12,2011,46,46,891,34,34,371,,,129,34,34,500,,,56.12,"Grant","Dayville SD 16J","Dayville School",-
330,"7/1/2016",12,2008,29,609,891,11,209,371,,111,129,16,320,500,,52.55,56.12,"Grant","John Day SD 3","Seneca Elementary School",-
3366,"7/1/2016",12,2012,30,30,891,15,15,371,,,129,15,15,500,,,56.12,"Grant","Long Creek SD 17","Long Creek School",-
348,"7/1/2016",13,2017,3,3,1299,,,383,,,149,0,0,532,,,40.95,"Harney","Diamond SD 7","Diamond Elementary School",-
352,"7/1/2016",13,2021,2,2,1299,,,383,,,149,0,0,532,,,40.95,"Harney","Double O SD 28","Double O Elementary School",-
350,"7/1/2016",13,2019,9,9,1299,,,383,,,149,0,0,532,,,40.95,"Harney","Drewsey SD 13","Drewsey Elementary School",-
351,"7/1/2016",13,2020,11,248,1299,,,383,,,149,0,0,532,,,40.95,"Harney","Frenchglen SD 16","Frenchglen Elementary School",-
4702,"7/1/2016",13,2020,237,248,1299,,,383,,,149,0,0,532,,,40.95,"Harney","Frenchglen SD 16","Silvies River Charter School",-
3740,"7/1/2016",13,2014,4,867,1299,,341,383,,125,149,10,466,532,,53.75,40.95,"Harney","Harney County SD 3","Burns Alternative School",-
347,"7/1/2016",13,2016,5,5,1299,,,383,,,149,0,0,532,,,40.95,"Harney","Pine Creek SD 5","Pine Creek Elementary School",-
357,"7/1/2016",13,2022,12,12,1299,,,383,,,149,0,0,532,,,40.95,"Harney","South Harney SD 33","Fields Elementary School",-
349,"7/1/2016",13,2018,10,10,1299,,,383,,,149,0,0,532,,,40.95,"Harney","Suntex SD 10","Suntex Elementary School",-
2300,"7/1/2016",14,2024,12,4120,4084,,1800,1800,,404,404,14,2204,2204,,53.5,53.97,"Hood River","Hood River County SD","The Next Door",-
3147,"7/1/2016",15,2043,58,4103,29154,17,2042,13824,,308,1958,19,2350,15782,,57.28,54.13,"Jackson","Eagle Point SD 9","Lake Creek Learning Center",-
4378,"7/1/2016",15,2043,67,4103,29154,35,2042,13824,,308,1958,37,2350,15782,,57.28,54.13,"Jackson","Eagle Point SD 9","URCEO-Upper Rogue Center for Educational Opportunities",-
4821,"7/1/2016",15,2048,886,14081,29154,,6245,13824,,825,1958,0,7070,15782,,50.21,54.13,"Jackson","Medford SD 549C","Logos Public Charter School",-
5304,"7/1/2016",15,2048,100,14081,29154,12,6245,13824,,825,1958,14,7070,15782,,50.21,54.13,"Jackson","Medford SD 549C","The Valley School of Southern Oregon",-
407,"7/1/2016",15,2047,9,9,29154,,,13824,,,1958,0,0,15782,,,54.13,"Jackson","Pinehurst SD 94","Pinehurst Elementary School",-
4856,"7/1/2016",15,2044,182,989,29154,,466,13824,,84,1958,0,550,15782,,55.61,54.13,"Jackson","Rogue River SD 35","Rivers Edge Academy Charter School",-
2434,"7/1/2016",15,2025,6,93,29154,,21,13824,,,1958,15,24,15782,,,54.13,"Jackson","Southern Oregon ESD","Family Solutions - Ashland",-
1275,"7/1/2016",15,2025,12,93,29154,,21,13824,,,1958,9,24,15782,,,54.13,"Jackson","Southern Oregon ESD","Family Solutions - Grants Pass",-
3653,"7/1/2016",15,2025,8,93,29154,,21,13824,,,1958,0,24,15782,,,54.13,"Jackson","Southern Oregon ESD","Family Solutions - Medford",-
427,"7/1/2016",16,2051,3,3,3674,,,2601,,,209,0,0,2810,,,76.48,"Jefferson","Ashwood SD 8","Ashwood Elementary School",-
428,"7/1/2016",16,2052,26,26,3674,,,2601,,,209,0,0,2810,,,76.48,"Jefferson","Black Butte SD 41","Black Butte Elementary School",-
3458,"7/1/2016",16,2053,22,2963,3674,,2215,2601,,127,209,0,2342,2810,,79.04,76.48,"Jefferson","Jefferson County SD 509J","Big Muddy Elementary",-
5359,"7/1/2016",16,2053,131,2963,3674,65,2215,2601,,127,209,65,2342,2810,,79.04,76.48,"Jefferson","Jefferson County SD 509J","Bridges Career and Technical High School",-
432,"7/1/2016",16,2053,664,2963,3674,,2215,2601,,127,209,664,2342,2810,,79.04,76.48,"Jefferson","Jefferson County SD 509J","Warm Springs K-8 Academy",-
1782,"7/1/2016",17,2055,9,4632,10554,,2949,6117,,434,944,217,3383,7061,,73.04,66.9,"Josephine","Three Rivers/Josephine County SD","Kairos - New Beginnings",-
3150,"7/1/2016",17,2055,6,4632,10554,,2949,6117,,434,944,186,3383,7061,,73.04,66.9,"Josephine","Three Rivers/Josephine County SD","Kairos - Three Bridges",-
4823,"7/1/2016",17,2055,93,4632,10554,82,2949,6117,,434,944,82,3383,7061,,73.04,66.9,"Josephine","Three Rivers/Josephine County SD","Sunny Wolf Charter School",-
471,"7/1/2016",18,2057,7,6579,9357,,3363,5115,,636,870,6,3999,5985,,60.78,63.96,"Klamath","Klamath County SD","Gearhart Elementary School",-
472,"7/1/2016",18,2057,111,6579,9357,88,3363,5115,,636,870,92,3999,5985,,60.78,63.96,"Klamath","Klamath County SD","Gilchrist Elementary School",-
5355,"7/1/2016",18,2056,84,2986,9357,,1752,5115,,234,870,0,1986,5985,,66.51,63.96,"Klamath","Klamath Falls City Schools","Klamath Learning Center",-
1257,"7/1/2016",18,2056,19,2986,9357,,1752,5115,,234,870,0,1986,5985,,66.51,63.96,"Klamath","Klamath Falls City Schools","Klamath Youth Development Center",-
498,"7/1/2016",19,2063,9,9,1211,,,463,,,83,0,0,546,,,45.09,"Lake","Adel SD 21","Adel Elementary School",-
489,"7/1/2016",19,2059,47,757,1211,13,302,463,,70,83,17,372,546,,49.14,45.09,"Lake","Lake County SD 7","Union Elementary School",-
3360,"7/1/2016",19,2060,221,221,1211,,,463,,,83,0,0,546,,,45.09,"Lake","Paisley SD 11","Paisley School",-
497,"7/1/2016",19,2062,3,3,1211,,,463,,,83,0,0,546,,,45.09,"Lake","Plush SD 18","Plush Elementary School",-
507,"7/1/2016",20,2082,221,17258,45309,,5842,19963,,1072,3599,0,6914,23562,,40.06,52,"Lane","Eugene SD 4J","Coburg Community Charter School",-
3233,"7/1/2016",20,2082,251,17258,45309,,5842,19963,,1072,3599,0,6914,23562,,40.06,52,"Lane","Eugene SD 4J","Ridgeline Montessori",-
2316,"7/1/2016",20,2082,15,17258,45309,,5842,19963,,1072,3599,15,6914,23562,,40.06,52,"Lane","Eugene SD 4J","Stepping Stone Lodge",-
1259,"7/1/2016",20,2082,316,17258,45309,,5842,19963,,1072,3599,0,6914,23562,,40.06,52,"Lane","Eugene SD 4J","Yujin Gakuen Elementary School",-
4045,"7/1/2016",20,2084,86,1407,45309,,526,19963,,115,3599,0,641,23562,,45.56,52,"Lane","Fern Ridge SD 28J","West Lane Technology Learning Center",-
1297,"7/1/2016",20,2091,129,1694,45309,35,629,19963,,155,3599,39,784,23562,,46.28,52,"Lane","Junction City SD 69","Territorial Elementary School",-
5349,"7/1/2016",20,2092,135,582,45309,,232,19963,,43,3599,0,275,23562,,47.25,52,"Lane","Lowell SD 71","Bridge Charter Academy",-
593,"7/1/2016",20,2090,124,186,45309,93,139,19963,,,3599,95,142,23562,,,52,"Lane","McKenzie SD 68","McKenzie Elementary School",-
594,"7/1/2016",20,2090,62,186,45309,46,139,19963,,,3599,47,142,23562,,,52,"Lane","McKenzie SD 68","McKenzie High School",-
4555,"7/1/2016",20,2087,180,2799,45309,,1402,19963,,286,3599,0,1688,23562,,60.31,52,"Lane","South Lane SD 45J3","Academy for Character Education",-
4395,"7/1/2016",20,2087,46,2799,45309,,1402,19963,,286,3599,0,1688,23562,,60.31,52,"Lane","South Lane SD 45J3","Childs Way Charter School",-
1792,"7/1/2016",20,2083,32,11064,45309,,6172,19963,,907,3599,114,7079,23562,,63.98,52,"Lane","Springfield SD 19","Jasper Mountain Center",-
1789,"7/1/2016",20,2083,21,11064,45309,,6172,19963,,907,3599,88,7079,23562,,63.98,52,"Lane","Springfield SD 19","SAFE Center School",-
1252,"7/1/2016",20,2083,33,11064,45309,,6172,19963,,907,3599,0,7079,23562,,63.98,52,"Lane","Springfield SD 19","The Child Center",-
3240,"7/1/2016",21,2097,47,5461,5461,,2891,2891,,361,361,0,3252,3252,,59.55,59.55,"Lincoln","Lincoln County SD","Lincoln City Career Technical High School",-
614,"7/1/2016",21,2097,8,5461,5461,,2891,2891,,361,361,0,3252,3252,,59.55,59.55,"Lincoln","Lincoln County SD","Olalla Center for Children & Families",-
624,"7/1/2016",21,2097,95,5461,5461,49,2891,2891,,361,361,53,3252,3252,,59.55,59.55,"Lincoln","Lincoln County SD","Waldport Middle School",-
618,"7/1/2016",21,2097,476,5461,5461,246,2891,2891,,361,361,246,3252,3252,,59.55,59.55,"Lincoln","Lincoln County SD","Yaquina View Elementary",-
635,"7/1/2016",22,2100,128,9515,22568,14,3628,8153,,695,1338,19,4323,9491,,45.43,42.06,"Linn","Greater Albany Public SD 8J","Fir Grove Primary School",-
639,"7/1/2016",22,2100,261,9515,22568,31,3628,8153,,695,1338,36,4323,9491,,45.43,42.06,"Linn","Greater Albany Public SD 8J","Oak Grove Elementary School",-
42,"7/1/2016",22,2098,45,54,22568,,,8153,,,1338,64,64,9491,,,42.06,"Linn","Linn Benton Lincoln ESD","Childrens Farm Home",-
1271,"7/1/2016",22,2098,4,54,22568,,,8153,,,1338,0,64,9491,,,42.06,"Linn","Linn Benton Lincoln ESD","Old Mill Center for Children & Families",-
5160,"7/1/2016",22,2098,5,54,22568,,,8153,,,1338,0,64,9491,,,42.06,"Linn","Linn Benton Lincoln ESD","Wake Robin School",-
4399,"7/1/2016",22,2104,3811,4341,22568,,248,8153,,36,1338,0,284,9491,,6.54,42.06,"Linn","Santiam Canyon SD 129J","Oregon Connections Academy",-
2994,"7/1/2016",22,2103,49,785,22568,,220,8153,,34,1338,0,254,9491,,32.36,42.06,"Linn","Scio SD 95","Lourdes School",-
5061,"7/1/2016",22,2103,33,785,22568,,220,8153,,34,1338,0,254,9491,,32.36,42.06,"Linn","Scio SD 95","Oregon Virtual Education",-
677,"7/1/2016",22,2103,150,785,22568,44,220,8153,,34,1338,48,254,9491,,32.36,42.06,"Linn","Scio SD 95","Scio Middle School",-
711,"7/1/2016",23,2115,15,15,5000,,,3188,,,419,0,0,3607,,,72.14,"Malheur","Arock SD 81","W W Jones Elementary School",-
691,"7/1/2016",23,2107,21,71,5000,,,3188,,,419,0,0,3607,,,72.14,"Malheur","Jordan Valley SD 3","Jordan Valley Elementary School",-
712,"7/1/2016",23,2107,46,71,5000,,,3188,,,419,0,0,3607,,,72.14,"Malheur","Jordan Valley SD 3","Jordan Valley High School",-
3132,"7/1/2016",23,2107,4,71,5000,,,3188,,,419,0,0,3607,,,72.14,"Malheur","Jordan Valley SD 3","Rockville Elementary School",-
700,"7/1/2016",23,2109,2,2,5000,,,3188,,,419,0,0,3607,,,72.14,"Malheur","Juntura SD 12","Juntura Elementary School",-
706,"7/1/2016",23,2116,89,948,5000,51,467,3188,,94,419,53,561,3607,,59.18,72.14,"Malheur","Vale SD 84","Willowcreek Elementary School",-
4024,"7/1/2016",24,2137,46,995,62073,33,694,34127,,95,4972,33,789,39099,,79.3,62.99,"Marion","Gervais SD 1","Samuel Brown Academy",-
2831,"7/1/2016",24,3476,7,170,62073,,,34127,,,4972,0,1065,39099,,,62.99,"Marion","ODE JDEP District","COIC Skill Lab",-
2848,"7/1/2016",24,3476,61,170,62073,,,34127,,,4972,82,1065,39099,,,62.99,"Marion","ODE JDEP District","Donald E Long School",-
2836,"7/1/2016",24,3476,15,170,62073,,,34127,,,4972,32,1065,39099,,,62.99,"Marion","ODE JDEP District","Jackson County Juvenile",-
2839,"7/1/2016",24,3476,10,170,62073,,,34127,,,4972,15,1065,39099,,,62.99,"Marion","ODE JDEP District","Klamath County Juvenile",-
2841,"7/1/2016",24,3476,8,170,62073,,,34127,,,4972,800,1065,39099,,,62.99,"Marion","ODE JDEP District","Lane County Dept of Youth",-
2842,"7/1/2016",24,3476,1,170,62073,,,34127,,,4972,0,1065,39099,,,62.99,"Marion","ODE JDEP District","Lincoln County Juvenile",-
2843,"7/1/2016",24,3476,14,170,62073,,,34127,,,4972,16,1065,39099,,,62.99,"Marion","ODE JDEP District","Linn County Juvenile Detention",-
2846,"7/1/2016",24,3476,21,170,62073,,,34127,,,4972,90,1065,39099,,,62.99,"Marion","ODE JDEP District","Marion County Juvenile Detention",-
2832,"7/1/2016",24,3476,14,170,62073,,,34127,,,4972,0,1065,39099,,,62.99,"Marion","ODE JDEP District","Mt Nebo Alt Ed",-
3129,"7/1/2016",24,3476,14,170,62073,,,34127,,,4972,19,1065,39099,,,62.99,"Marion","ODE JDEP District","NORCOR Education Detention Center",-
2858,"7/1/2016",24,3476,5,170,62073,,,34127,,,4972,11,1065,39099,,,62.99,"Marion","ODE JDEP District","Yamhill County Juvenile",-
2258,"7/1/2016",24,3477,20,387,62073,,,34127,,,4972,33,517,39099,,,62.99,"Marion","ODE YCEP District","Monroe School",-
2260,"7/1/2016",24,3477,79,387,62073,,,34127,,,4972,83,517,39099,,,62.99,"Marion","ODE YCEP District","New Bridge High School",-
2387,"7/1/2016",24,3477,6,387,62073,,,34127,,,4972,12,517,39099,,,62.99,"Marion","ODE YCEP District","Ocean Dunes High School",-
2386,"7/1/2016",24,3477,10,387,62073,,,34127,,,4972,23,517,39099,,,62.99,"Marion","ODE YCEP District","RiverBend High School",-
1827,"7/1/2016",24,3477,113,387,62073,,,34127,,,4972,129,517,39099,,,62.99,"Marion","ODE YCEP District","Robert S Farrell High School",-
2385,"7/1/2016",24,3477,46,387,62073,,,34127,,,4972,51,517,39099,,,62.99,"Marion","ODE YCEP District","South Jetty High School",-
4609,"7/1/2016",24,3477,45,387,62073,,,34127,,,4972,64,517,39099,,,62.99,"Marion","ODE YCEP District","Three Lakes High School",-
4588,"7/1/2016",24,3477,37,387,62073,,,34127,,,4972,41,517,39099,,,62.99,"Marion","ODE YCEP District","Trask River High School",-
1828,"7/1/2016",24,3477,31,387,62073,,,34127,,,4972,81,517,39099,,,62.99,"Marion","ODE YCEP District","William P Lord High School",-
4604,"7/1/2016",24,2336,192,1002,62073,,347,34127,,54,4972,0,401,39099,,40.02,62.99,"Marion","Oregon Department of Education","Southwest Charter School",-
3582,"7/1/2016",24,2142,5,41718,62073,,22855,34127,,3190,4972,0,26045,39099,,62.43,62.99,"Marion","Salem-Keizer SD 24J","Catholic Community Services",-
1358,"7/1/2016",24,2142,161,41718,62073,14,22855,34127,,3190,4972,19,26045,39099,,62.43,62.99,"Marion","Salem-Keizer SD 24J","Howard Street Charter",-
784,"7/1/2016",24,2138,137,3871,62073,29,1151,34127,,354,4972,29,1505,39099,,38.88,62.99,"Marion","Silver Falls SD 4J","Bethany Charter School",-
807,"7/1/2016",24,2138,184,3871,62073,32,1151,34127,,354,4972,32,1505,39099,,38.88,62.99,"Marion","Silver Falls SD 4J","Central Howell Elementary School",-
718,"7/1/2016",24,2138,83,3871,62073,,1151,34127,,354,4972,0,1505,39099,,38.88,62.99,"Marion","Silver Falls SD 4J","Evergreen Elementary School",-
780,"7/1/2016",24,2138,72,3871,62073,10,1151,34127,,354,4972,10,1505,39099,,38.88,62.99,"Marion","Silver Falls SD 4J","Pratum Elementary School",-
2334,"7/1/2016",24,2117,14,40,62073,,,34127,,,4972,0,0,39099,,,62.99,"Marion","Willamette ESD","Oregon State Hospital Salem (educational program)",-
4544,"7/1/2016",24,2146,80,5650,62073,52,3841,34127,,464,4972,56,4305,39099,,76.19,62.99,"Marion","Woodburn SD 103","Woodburn Success",-
3553,"7/1/2016",26,2183,2,11972,91695,,5725,41819,,1042,6364,120,6767,48183,,56.52,52.55,"Multnomah","Gresham-Barlow SD 10J","Center for Advanced Learning",-
4740,"7/1/2016",26,2183,431,11972,91695,,5725,41819,,1042,6364,0,6767,48183,,56.52,52.55,"Multnomah","Gresham-Barlow SD 10J","Metro East Web Academy",-
3168,"7/1/2016",26,2148,45,337,91695,33,122,41819,,8,6364,36,130,48183,,38.58,52.55,"Multnomah","Multnomah ESD","Arata Creek School",-
4203,"7/1/2016",26,2148,1,337,91695,,122,41819,,8,6364,0,130,48183,,38.58,52.55,"Multnomah","Multnomah ESD","Doernbecher Childrens Hospital (educational program)",-
1298,"7/1/2016",26,2148,120,337,91695,73,122,41819,,8,6364,78,130,48183,,38.58,52.55,"Multnomah","Multnomah ESD","Helensview High School",-
953,"7/1/2016",26,2148,22,337,91695,,122,41819,,8,6364,3,130,48183,,38.58,52.55,"Multnomah","Multnomah ESD","Kerr Youth Center/Wynne Watts School ",-
1800,"7/1/2016",26,2148,4,337,91695,,122,41819,,8,6364,0,130,48183,,38.58,52.55,"Multnomah","Multnomah ESD","Legacy Emanuel Hospital (educational program)",-
1648,"7/1/2016",26,2148,13,337,91695,,122,41819,,8,6364,13,130,48183,,38.58,52.55,"Multnomah","Multnomah ESD","Morrison Center Counterpoint Program",-
926,"7/1/2016",26,2181,432,3238,91695,321,2088,41819,,278,6364,321,2366,48183,,73.07,52.55,"Multnomah","Parkrose SD 3","Russell Elementary",-
824,"7/1/2016",26,2180,747,47240,91695,39,16200,41819,,2426,6364,41,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Alameda Elementary School",-
907,"7/1/2016",26,2180,12,47240,91695,,16200,41819,,2426,6364,0,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Boys & Girls Aid Society/Johns Landing School",-
3991,"7/1/2016",26,2180,144,47240,91695,9,16200,41819,,2426,6364,12,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Emerson School",-
2413,"7/1/2016",26,2180,455,47240,91695,8,16200,41819,,2426,6364,11,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Forest Park Elementary School",-
908,"7/1/2016",26,2180,11,47240,91695,,16200,41819,,2426,6364,10,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Janus Youth Programs",-
2275,"7/1/2016",26,2180,8,47240,91695,,16200,41819,,2426,6364,11,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Morrison Child & Family Services, Breakthrough",-
1279,"7/1/2016",26,2180,8,47240,91695,,16200,41819,,2426,6364,0,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Morrison Child & Family Services, Hand In Hand ",-
1281,"7/1/2016",26,2180,6,47240,91695,,16200,41819,,2426,6364,0,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Nickerson Center ADTP",-
3451,"7/1/2016",26,2180,88,47240,91695,,16200,41819,,2426,6364,0,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Opal School of the Portland Children's Museum",-
880,"7/1/2016",26,2180,61,47240,91695,,16200,41819,,2426,6364,0,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Parry Center for Children",-
3584,"7/1/2016",26,2180,9,47240,91695,,16200,41819,,2426,6364,0,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Parry Center SCIP",-
1299,"7/1/2016",26,2180,410,47240,91695,43,16200,41819,,2426,6364,48,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Rieke Elementary School",-
5305,"7/1/2016",26,2180,7,47240,91695,,16200,41819,,2426,6364,0,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","SAGE Youth Residential Program",-
4212,"7/1/2016",26,2180,66,47240,91695,45,16200,41819,,2426,6364,49,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Self Enhancement, Inc/SEI Academy",-
892,"7/1/2016",26,2180,340,47240,91695,19,16200,41819,,2426,6364,24,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Stephenson Elementary School",-
3616,"7/1/2016",26,2180,359,47240,91695,,16200,41819,,2426,6364,0,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Trillium ",-
921,"7/1/2016",26,2180,1,47240,91695,,16200,41819,,2426,6364,25,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","White Shield Home",-
4405,"7/1/2016",26,2180,11,47240,91695,,16200,41819,,2426,6364,0,18626,48183,,39.43,52.55,"Multnomah","Portland SD 1J","Wildflowers",-
985,"7/1/2016",26,2188,390,628,91695,,,41819,,,6364,0,0,48183,,,52.55,"Multnomah","Riverdale SD 51J","Riverdale Grade School",-
1345,"7/1/2016",26,2188,238,628,91695,,,41819,,,6364,0,0,48183,,,52.55,"Multnomah","Riverdale SD 51J","Riverdale High School",-
3461,"7/1/2016",27,2190,196,3081,6838,,1128,2997,,234,560,0,1362,3557,,44.21,52.02,"Polk","Dallas SD 2","Luckiamute Valley Charter School",-
