SCHLINSTID,SCHLYR,CNTYGEOGAREAID,DISTINSTID,STUDENRCNT,DISTSTUDENRCNT,CntyStudEnrCnt,FREELNCHCNT,DISTFREELNCHCNT,CntyFreeLnchCnt,REDLNCHCNT,DISTREDLNCHCNT,CntyRedLnchCnt,TOTELGBLAMT,DISTTOTELGBLAMT,CntyTotElgblAmt,FREEREDLNCHPCT,DISTFREEREDLNCHPCT,CntyFreeRedLnchPct,CNTYNM,DISTNM,SCHLNM,last column
1069,"7/1/2016",31,2212,262,2290,3844,111,1018,1672,12,161,328,123,1179,2000,46.95,51.48,52.03,"Union","La Grande SD 1","Island City Elementary School",-
596,"7/1/2016",20,2091,504,1694,45309,186,629,19963,51,155,3599,237,784,23562,47.02,46.28,52,"Lane","Junction City SD 69","Oaklea Middle School",-
4719,"7/1/2016",3,1931,140,2073,59069,53,695,14687,13,159,3370,66,854,18057,47.14,41.2,30.57,"Clackamas","Gladstone SD 115","Gladstone Center for Children and Families",-
379,"7/1/2016",15,2041,335,2924,29154,143,827,13824,15,162,1958,158,989,15782,47.16,33.82,54.13,"Jackson","Ashland SD 5","Walker Elementary School",-
1051,"7/1/2016",30,2207,770,2951,13605,314,1265,7460,50,167,1431,364,1432,8891,47.27,48.53,65.35,"Umatilla","Pendleton SD 16","Sunridge Middle School",-
769,"7/1/2016",24,2142,643,41718,62073,250,22855,34127,54,3190,4972,304,26045,39099,47.28,62.43,62.99,"Marion","Salem-Keizer SD 24J","Walker Middle School",-
775,"7/1/2016",24,2142,1888,41718,62073,772,22855,34127,122,3190,4972,894,26045,39099,47.35,62.43,62.99,"Marion","Salem-Keizer SD 24J","South Salem High School",-
4390,"7/1/2016",24,2142,156,41718,62073,60,22855,34127,14,3190,4972,74,26045,39099,47.44,62.43,62.99,"Marion","Salem-Keizer SD 24J","Valley Inquiry Charter School",-
671,"7/1/2016",22,2101,223,4202,22568,82,1953,8153,24,272,1338,106,2225,9491,47.53,52.95,42.06,"Linn","Lebanon Community SD 9","Lacomb School",-
396,"7/1/2016",15,2043,418,4103,29154,161,2042,13824,38,308,1958,199,2350,15782,47.61,57.28,54.13,"Jackson","Eagle Point SD 9","Eagle Point Middle School",-
3649,"7/1/2016",26,2185,565,6145,91695,231,3727,41819,38,519,6364,269,4246,48183,47.61,69.1,52.55,"Multnomah","Centennial SD 28J","Butler Creek Elementary School",-
284,"7/1/2016",10,1992,126,712,14005,49,280,7145,11,90,1415,60,370,8560,47.62,51.97,61.12,"Douglas","Glide SD 12","Glide Middle School",-
5066,"7/1/2016",24,2142,582,41718,62073,237,22855,34127,41,3190,4972,278,26045,39099,47.77,62.43,62.99,"Marion","Salem-Keizer SD 24J","Battle Creek Elementary School",-
795,"7/1/2016",24,2138,136,3871,62073,45,1151,34127,20,354,4972,65,1505,39099,47.79,38.88,62.99,"Marion","Silver Falls SD 4J","Silver Crest Elementary School",-
122,"7/1/2016",3,1929,364,4750,59069,160,1728,14687,14,212,3370,174,1940,18057,47.8,40.84,30.57,"Clackamas","Canby SD 86","William Knight Elementary School",-
4435,"7/1/2016",3,1929,443,4750,59069,191,1728,14687,21,212,3370,212,1940,18057,47.86,40.84,30.57,"Clackamas","Canby SD 86","Philander Lee Elementary School",-
519,"7/1/2016",20,2082,397,17258,45309,157,5842,19963,33,1072,3599,190,6914,23562,47.86,40.06,52,"Lane","Eugene SD 4J","Kennedy Middle School",-
119,"7/1/2016",24,2138,319,3871,62073,116,1151,34127,37,354,4972,153,1505,39099,47.96,38.88,62.99,"Marion","Silver Falls SD 4J","Butte Creek Elementary School",-
491,"7/1/2016",19,2059,106,757,1211,41,302,463,10,70,83,51,372,546,48.11,49.14,45.09,"Lake","Lake County SD 7","Daly Middle School",-
1134,"7/1/2016",34,2241,1932,6219,86801,807,3013,27961,127,432,5042,934,3445,33003,48.34,55.39,38.02,"Washington","Forest Grove SD 15","Forest Grove High School",-
4020,"7/1/2016",15,2043,333,4103,29154,132,2042,13824,29,308,1958,161,2350,15782,48.35,57.28,54.13,"Jackson","Eagle Point SD 9","Eagle Rock Elementary School",-
559,"7/1/2016",20,2083,400,11064,45309,165,6172,19963,29,907,3599,194,7079,23562,48.5,63.98,52,"Lane","Springfield SD 19","Yolanda Elementary School",-
643,"7/1/2016",22,2100,336,9515,22568,140,3628,8153,23,695,1338,163,4323,9491,48.51,45.43,42.06,"Linn","Greater Albany Public SD 8J","Oak Elementary School",-
1194,"7/1/2016",34,2245,270,565,86801,111,198,27961,20,35,5042,131,233,33003,48.52,41.24,38.02,"Washington","Gaston SD 511J","Gaston Elementary School",-
107,"7/1/2016",3,1928,480,8008,59069,203,2115,14687,30,476,3370,233,2591,18057,48.54,32.36,30.57,"Clackamas","Oregon City SD 62","Holcomb Elementary School",-
